# AM1.5G global tilt photon flux derived from ASTM G-173-03 reference spectrum.
# Source: pvlib.spectrum.get_reference_spectra() (NREL ASTM G-173 mirror).
# Column 1: wavelength [nm].  Column 2: photon flux [photons/m^2/s/m].
# Conversion: Phi(lam) = E(lam) [W/m^2/nm] * 1e9 [nm/m] * lam [m] / (h*c).
# Range: 280-1500 nm at native ASTM sampling.
# wavelength_nm,spectral_flux_m-2_s-1_m-1
9.340000e+02,6.761282e+26
9.350000e+02,1.180679e+27
9.360000e+02,7.606002e+26
9.370000e+02,7.706581e+26
9.380000e+02,9.471390e+26
9.390000e+02,1.885473e+27
9.400000e+02,2.232638e+27
9.410000e+02,1.761966e+27
9.420000e+02,1.922083e+27
9.430000e+02,1.321328e+27
9.440000e+02,1.358133e+27
9.450000e+02,1.751663e+27
9.460000e+02,9.267862e+26
9.470000e+02,1.769243e+27
9.480000e+02,1.308719e+27
9.490000e+02,2.359833e+27
9.500000e+02,7.042578e+26
9.510000e+02,2.316070e+27
9.520000e+02,1.288746e+27
